Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,P1,P2,P3,P4,P5,P6,P7,P8,Course,recommended_career_target
14,7,9,20,5,17,16,7,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,9,11,17,7,16,20,7,1,0,0,3,0,3,3,1,Unknown,Logistics manager
12,9,11,17,7,18,16,5,1,1,1,3,0,3,3,1,Unknown,Logistics manager
13,6,7,19,9,19,17,8,0,1,0,3,0,3,1,0,Unknown,Logistics manager
12,10,7,15,5,17,16,6,1,0,0,3,0,3,3,0,Unknown,Logistics manager
15,7,8,19,7,15,18,7,0,1,1,3,1,3,3,0,Unknown,Logistics manager
11,7,9,18,9,17,17,6,0,0,0,3,1,1,3,1,Unknown,Logistics manager
12,8,6,16,10,16,19,7,1,1,0,3,1,3,3,1,Unknown,Logistics manager
11,5,8,20,9,17,16,7,1,1,0,3,0,1,3,0,Unknown,Logistics manager
11,8,8,19,8,16,18,9,1,0,0,3,0,3,3,0,Unknown,Logistics manager
13,6,8,17,11,18,18,8,1,0,1,3,0,3,1,0,Unknown,Logistics manager
12,8,10,20,5,19,17,8,0,0,1,3,0,3,3,0,Unknown,Logistics manager
15,6,10,20,5,19,19,8,1,0,1,3,0,3,1,0,Unknown,Logistics manager
14,6,9,19,8,17,20,9,1,0,1,3,1,3,3,1,Unknown,Logistics manager
12,6,8,19,7,16,18,6,0,1,1,3,0,3,3,0,Unknown,Logistics manager
10,8,9,17,6,18,20,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
12,7,5,16,7,18,18,7,1,0,0,3,0,3,1,1,Unknown,Logistics manager
11,5,6,19,8,17,19,5,1,0,0,3,0,3,3,0,Unknown,Logistics manager
11,7,6,17,8,18,16,7,1,0,0,3,0,1,1,1,Unknown,Logistics manager
12,6,9,15,9,17,17,6,0,1,0,3,0,3,3,0,Unknown,Logistics manager
13,7,10,16,6,18,18,9,1,1,0,3,0,3,3,0,Unknown,Logistics manager
12,5,8,15,7,20,18,7,0,0,0,3,1,3,3,0,Unknown,Logistics manager
13,11,5,19,9,19,17,8,1,0,0,3,0,1,3,1,Unknown,Logistics manager
12,6,7,18,6,19,17,7,1,0,0,3,0,3,1,1,Unknown,Logistics manager
13,9,16,18,13,6,13,18,1,0,3,3,1,0,1,3,Unknown,Logistics manager
12,5,8,20,10,16,16,6,0,1,0,3,1,3,1,0,Unknown,Logistics manager
12,6,5,16,9,16,18,8,0,0,1,3,0,1,3,0,Unknown,Logistics manager
14,7,10,19,8,16,17,6,1,0,0,3,0,1,3,1,Unknown,Logistics manager
11,6,5,16,8,17,17,8,0,1,1,3,0,3,3,1,Unknown,Logistics manager
13,7,8,17,8,15,18,7,3,0,0,3,0,3,1,0,Unknown,Logistics manager
12,5,7,17,9,16,16,8,0,0,1,3,0,1,3,0,Unknown,Logistics manager
12,9,6,16,9,20,15,6,0,0,0,3,1,3,3,1,Unknown,Logistics manager
13,9,8,19,8,18,14,7,1,1,0,3,1,1,1,0,Unknown,Logistics manager
14,5,6,16,8,18,19,8,0,0,0,3,1,3,3,0,Unknown,Logistics manager
12,6,8,15,8,16,16,5,1,0,1,3,0,3,3,1,Unknown,Logistics manager
13,7,8,17,7,16,16,9,1,0,0,3,0,3,3,1,Unknown,Logistics manager
13,5,6,20,7,20,14,9,0,0,0,3,1,3,3,0,Unknown,Logistics manager
13,7,5,18,8,19,20,6,1,0,0,3,1,1,3,0,Unknown,Logistics manager
12,6,7,17,9,18,18,6,0,0,0,3,0,3,1,0,Unknown,Logistics manager
13,7,7,17,7,17,17,8,0,0,1,3,0,3,1,1,Unknown,Logistics manager
12,9,11,16,7,18,18,5,1,0,0,3,1,3,1,1,Unknown,Logistics manager
12,7,16,15,13,7,12,20,0,0,3,3,0,0,1,3,Unknown,Logistics manager
14,11,10,17,8,17,16,8,0,1,0,3,1,3,3,0,Unknown,Logistics manager
11,10,9,18,7,17,18,8,0,0,1,3,1,1,3,0,Unknown,Logistics manager
13,7,10,20,8,18,16,7,1,1,0,3,0,3,3,0,Unknown,Logistics manager
14,7,10,18,7,16,19,7,1,0,0,3,1,3,1,1,Unknown,Logistics manager
14,8,10,16,8,18,18,7,1,0,0,3,1,1,3,0,Unknown,Logistics manager
12,7,11,18,6,16,18,7,1,0,0,3,1,1,1,1,Unknown,Logistics manager
12,7,11,19,7,17,19,7,1,1,0,3,1,3,3,0,Unknown,Logistics manager
13,10,9,19,9,17,17,9,0,0,0,3,0,1,3,1,Unknown,Logistics manager
12,9,9,17,7,15,20,10,3,0,0,3,1,1,3,1,Unknown,Logistics manager
13,6,5,17,10,20,18,7,0,0,0,3,0,1,1,0,Unknown,Logistics manager
13,10,7,18,6,20,16,8,0,1,0,3,0,1,3,1,Unknown,Logistics manager
11,10,9,15,6,20,19,8,1,1,0,3,1,3,1,1,Unknown,Logistics manager
12,10,9,20,10,16,18,6,0,1,0,3,1,3,3,0,Unknown,Logistics manager
14,5,9,19,9,18,16,6,0,0,0,3,1,3,1,0,Unknown,Logistics manager
13,5,10,19,6,18,18,6,1,0,1,3,0,3,3,0,Unknown,Logistics manager
13,8,7,19,5,17,18,7,1,0,0,3,1,3,3,1,Unknown,Logistics manager
15,9,8,20,10,17,19,6,1,0,1,3,0,1,1,0,Unknown,Logistics manager
12,8,6,18,8,18,16,6,1,0,0,3,0,3,3,1,Unknown,Logistics manager
14,9,10,20,7,17,16,6,0,0,1,3,1,3,3,0,Unknown,Logistics manager
12,12,7,17,9,19,17,7,0,0,0,3,0,3,1,0,Unknown,Logistics manager
13,7,7,16,8,18,16,7,1,0,1,3,0,3,3,0,Unknown,Logistics manager
12,9,8,19,9,18,16,5,1,0,0,3,0,3,3,0,Unknown,Logistics manager
14,12,6,20,9,17,17,13,1,1,0,3,1,3,1,1,Unknown,Logistics manager
13,6,7,20,6,16,17,8,1,0,1,3,0,3,3,0,Unknown,Logistics manager
13,7,9,17,10,16,16,7,1,1,0,3,0,1,1,0,Unknown,Logistics manager
11,10,6,17,8,19,18,6,1,1,0,3,0,3,3,1,Unknown,Logistics manager
13,7,9,17,10,16,18,7,0,1,1,3,0,3,1,0,Unknown,Logistics manager
12,5,10,19,9,18,16,6,1,0,0,3,1,1,1,1,Unknown,Logistics manager
13,7,8,18,11,15,18,6,1,0,1,3,0,1,3,0,Unknown,Logistics manager
12,10,8,19,7,18,17,7,1,0,0,3,1,3,3,0,Unknown,Logistics manager
14,9,9,17,9,19,17,6,0,1,0,3,1,1,1,0,Unknown,Logistics manager
17,12,8,18,7,12,16,15,3,0,0,3,1,1,1,1,Unknown,Logistics manager
11,8,6,17,9,15,20,8,1,1,0,3,1,3,3,1,Unknown,Logistics manager
12,6,8,19,8,16,14,7,0,0,1,3,0,1,3,0,Unknown,Logistics manager
11,8,9,19,7,18,15,7,1,0,0,3,0,3,1,1,Unknown,Logistics manager
13,9,6,20,6,18,18,6,1,0,0,3,1,3,1,0,Unknown,Logistics manager
13,8,9,16,8,19,16,6,0,1,0,3,0,3,1,0,Unknown,Logistics manager
12,8,7,18,8,19,15,5,0,0,0,3,0,1,1,0,Unknown,Logistics manager
12,8,9,18,10,15,18,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
11,5,9,17,6,18,18,7,1,1,0,3,0,3,3,1,Unknown,Logistics manager
11,10,8,20,7,16,18,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
13,8,12,18,9,18,17,8,1,0,0,3,1,3,1,0,Unknown,Logistics manager
11,5,7,17,9,18,19,5,0,0,0,3,1,1,3,0,Unknown,Logistics manager
12,9,6,19,11,15,18,7,1,0,1,3,0,1,3,0,Unknown,Logistics manager
13,8,5,18,10,16,17,7,0,0,0,3,0,3,3,0,Unknown,Logistics manager
16,7,6,19,8,12,20,14,3,0,1,3,0,1,3,1,Unknown,Logistics manager
13,12,8,18,8,18,19,11,1,1,0,3,0,3,3,1,Unknown,Logistics manager
11,5,9,17,7,16,18,8,1,1,0,3,1,3,3,1,Unknown,Logistics manager
14,8,7,18,9,17,17,9,1,0,0,3,1,1,3,0,Unknown,Logistics manager
11,7,8,17,8,15,17,10,1,0,1,3,0,3,3,0,Unknown,Logistics manager
13,9,8,18,11,14,17,7,1,1,0,3,1,3,3,0,Unknown,Logistics manager
13,10,8,16,8,18,20,9,1,0,0,3,1,3,1,1,Unknown,Logistics manager
19,9,13,15,9,15,12,6,3,1,1,3,1,3,3,0,Unknown,Logistics manager
12,8,16,15,14,8,12,20,1,1,3,3,0,0,1,1,Unknown,Logistics manager
12,5,9,17,7,19,20,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
12,7,10,18,6,16,18,7,1,0,1,3,1,3,1,0,Unknown,Logistics manager
13,8,7,15,7,19,17,7,0,0,1,3,0,3,3,0,Unknown,Logistics manager
11,7,8,19,7,20,19,7,1,0,1,3,1,3,1,1,Unknown,Logistics manager
11,11,10,20,8,17,17,7,1,0,0,3,1,3,3,1,Unknown,Logistics manager
14,5,7,18,6,16,17,8,1,1,1,3,0,1,3,0,Unknown,Logistics manager
12,9,8,15,9,19,18,7,1,0,1,3,1,3,1,1,Unknown,Logistics manager
11,8,7,16,8,17,20,7,1,0,1,3,0,1,3,0,Unknown,Logistics manager
13,9,7,16,8,16,18,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
12,9,7,19,7,19,17,7,1,0,0,3,0,3,1,0,Unknown,Logistics manager
11,5,9,15,8,17,16,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
13,7,6,15,8,18,19,6,1,0,0,3,1,3,1,0,Unknown,Logistics manager
13,5,7,18,9,15,17,6,1,0,1,3,0,1,3,0,Unknown,Logistics manager
11,8,10,20,8,15,17,5,3,1,0,3,1,1,3,0,Unknown,Logistics manager
12,6,7,16,10,17,14,7,1,1,1,3,0,3,3,3,Unknown,Logistics manager
12,9,8,18,8,17,20,8,0,1,1,3,0,1,3,0,Unknown,Logistics manager
17,6,5,17,7,11,19,11,3,0,0,3,1,1,3,0,Unknown,Logistics manager
14,6,8,17,9,14,18,6,3,0,0,3,0,3,1,0,Unknown,Logistics manager
12,5,8,16,7,15,17,8,1,1,1,3,1,3,3,1,Unknown,Logistics manager
15,5,9,20,9,19,18,6,1,0,0,3,1,1,3,0,Unknown,Logistics manager
14,10,9,16,7,17,17,7,1,0,0,3,1,3,1,0,Unknown,Logistics manager
11,6,7,19,6,17,17,7,0,0,0,3,0,3,1,0,Unknown,Logistics manager
13,9,7,17,5,17,18,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
17,14,8,18,6,12,18,14,3,1,0,3,0,0,3,0,Unknown,Logistics manager
12,13,8,18,8,17,20,14,0,1,0,3,1,1,3,1,Unknown,Logistics manager
18,7,13,16,12,17,17,7,3,0,1,3,1,3,3,0,Unknown,Logistics manager
11,6,8,19,6,16,17,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
11,8,7,16,7,16,16,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
12,7,19,18,13,6,12,17,1,1,3,3,1,0,1,3,Unknown,Logistics manager
17,6,14,18,8,20,14,5,3,0,0,3,1,1,1,1,Unknown,Logistics manager
14,7,7,20,11,14,16,6,1,0,1,3,0,3,3,0,Unknown,Logistics manager
14,7,9,20,6,20,18,8,1,0,0,3,1,3,1,0,Unknown,Logistics manager
13,6,7,18,7,17,19,7,0,1,1,3,1,3,3,0,Unknown,Logistics manager
13,8,6,16,9,19,18,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
15,9,7,19,10,20,18,8,0,0,1,3,0,3,3,0,Unknown,Logistics manager
12,7,7,17,8,16,19,7,0,0,1,3,1,3,3,1,Unknown,Logistics manager
12,6,9,20,9,20,16,7,1,1,0,3,1,1,3,0,Unknown,Logistics manager
13,5,7,15,7,14,17,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
14,11,11,19,7,18,19,8,0,0,0,3,0,3,3,0,Unknown,Logistics manager
15,8,7,20,7,18,18,7,1,0,1,3,0,3,1,3,Unknown,Logistics manager
13,6,7,16,6,18,19,5,0,1,0,3,0,3,3,1,Unknown,Logistics manager
11,6,5,16,6,15,20,9,1,0,0,3,0,3,3,0,Unknown,Logistics manager
17,7,15,18,7,16,14,8,3,0,1,3,1,1,1,0,Unknown,Logistics manager
14,5,5,16,9,17,16,8,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,6,7,18,6,17,17,6,1,1,0,3,0,3,3,0,Unknown,Logistics manager
16,7,12,20,5,18,13,8,3,0,0,3,0,3,1,0,Unknown,Logistics manager
13,11,8,19,7,19,18,12,1,0,0,3,1,3,3,0,Unknown,Logistics manager
10,5,8,17,9,17,14,7,1,0,1,3,0,3,1,0,Unknown,Logistics manager
11,7,7,16,9,13,17,8,1,0,0,3,1,1,1,0,Unknown,Logistics manager
14,5,6,18,7,19,18,6,0,0,0,3,0,3,3,1,Unknown,Logistics manager
13,7,7,15,7,16,19,8,0,0,0,3,0,3,3,0,Unknown,Logistics manager
11,8,8,20,8,17,17,9,1,0,0,3,0,1,1,0,Unknown,Logistics manager
13,9,9,20,9,15,16,8,1,0,0,3,0,3,3,1,Unknown,Logistics manager
12,9,8,16,10,18,18,6,1,1,0,3,1,3,3,1,Unknown,Logistics manager
13,9,5,17,7,17,15,7,0,0,0,3,0,3,3,0,Unknown,Logistics manager
12,8,6,17,7,16,16,8,1,1,0,3,0,1,1,0,Unknown,Logistics manager
13,7,8,15,8,16,20,9,0,0,0,3,0,3,3,1,Unknown,Logistics manager
14,7,9,17,7,19,17,8,1,1,0,3,1,1,1,0,Unknown,Logistics manager
12,12,8,16,7,17,19,7,1,0,0,3,0,3,3,1,Unknown,Logistics manager
13,9,7,18,7,19,16,8,1,1,0,3,0,3,3,1,Unknown,Logistics manager
13,8,12,16,10,18,20,7,1,0,0,3,1,3,3,0,Unknown,Logistics manager
12,6,6,19,9,17,17,8,3,0,0,3,0,3,1,0,Unknown,Logistics manager
14,8,5,17,8,17,18,7,0,1,1,3,0,3,3,0,Unknown,Logistics manager
12,12,5,18,8,17,19,12,1,1,1,3,0,1,1,1,Unknown,Logistics manager
13,10,6,18,7,20,18,13,1,0,0,3,0,1,3,1,Unknown,Logistics manager
12,9,9,18,10,19,18,8,0,1,0,3,0,3,3,0,Unknown,Logistics manager
14,5,6,18,9,18,20,5,1,0,1,3,1,3,1,1,Unknown,Logistics manager
11,7,6,17,8,16,16,6,1,0,1,3,0,1,3,0,Unknown,Logistics manager
13,8,9,17,9,19,17,9,1,0,0,3,1,3,1,0,Unknown,Logistics manager
12,6,7,20,8,15,17,6,0,0,0,3,1,0,1,0,Unknown,Logistics manager
14,7,6,17,7,20,19,7,0,1,0,3,0,3,3,1,Unknown,Logistics manager
12,7,6,18,8,19,18,8,1,0,1,3,0,3,3,0,Unknown,Logistics manager
11,5,9,15,8,16,17,7,1,0,0,3,1,3,3,1,Unknown,Logistics manager
12,6,7,17,6,20,18,13,1,1,1,3,0,1,1,1,Unknown,Logistics manager
13,5,6,16,5,16,16,6,1,1,1,3,0,3,1,1,Unknown,Logistics manager
9,10,7,18,8,18,17,7,0,0,1,3,1,3,1,0,Unknown,Logistics manager
12,8,7,18,6,20,16,8,0,0,1,3,0,1,3,1,Unknown,Logistics manager
13,7,8,17,9,16,18,8,1,0,0,3,0,3,3,0,Unknown,Logistics manager
12,9,8,17,9,19,18,7,1,0,0,3,0,1,3,0,Unknown,Logistics manager
11,10,8,17,5,15,16,7,0,0,0,3,1,3,3,0,Unknown,Logistics manager
11,6,6,20,10,16,15,7,3,1,0,3,1,1,3,0,Unknown,Logistics manager
15,11,5,17,8,16,17,8,1,1,0,3,1,3,1,1,Unknown,Logistics manager
10,7,7,17,7,19,17,8,0,0,0,3,0,3,3,1,Unknown,Logistics manager
12,7,8,19,7,18,18,8,0,1,0,3,0,1,1,0,Unknown,Logistics manager
12,10,9,16,7,19,15,6,0,1,0,3,0,3,3,0,Unknown,Logistics manager
6,7,13,19,12,18,17,13,0,0,1,3,3,3,3,1,Unknown,Logistics manager
13,7,8,20,7,17,17,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
11,7,8,18,8,16,17,6,1,0,0,3,0,3,3,0,Unknown,Logistics manager
14,8,9,18,9,16,17,8,1,0,0,3,1,1,3,1,Unknown,Logistics manager
13,9,8,15,8,16,20,6,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,5,5,16,5,19,19,7,1,0,1,3,0,3,1,0,Unknown,Logistics manager
14,6,6,18,9,17,19,7,0,0,1,3,0,3,1,0,Unknown,Logistics manager
13,8,9,19,5,18,17,7,0,0,1,3,0,3,3,0,Unknown,Logistics manager
14,10,7,20,8,14,18,8,1,1,0,3,0,1,3,1,Unknown,Logistics manager
12,6,7,19,7,16,17,8,1,0,0,3,0,1,3,0,Unknown,Logistics manager
11,11,10,20,9,19,17,8,3,0,0,3,0,3,3,3,Unknown,Logistics manager
14,6,8,20,8,20,17,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
12,8,9,18,8,15,19,7,1,0,0,3,1,1,3,0,Unknown,Logistics manager
14,7,7,19,5,19,19,8,0,1,0,3,0,3,3,0,Unknown,Logistics manager
11,9,6,18,9,16,15,7,1,1,1,3,0,1,3,0,Unknown,Logistics manager
16,8,12,15,10,20,17,5,3,0,0,3,1,1,3,0,Unknown,Logistics manager
11,7,5,19,7,17,13,7,1,0,1,3,0,3,3,0,Unknown,Logistics manager
11,8,7,19,8,17,16,7,0,1,0,3,0,3,1,1,Unknown,Logistics manager
12,7,6,20,6,18,19,7,1,1,0,3,0,3,3,0,Unknown,Logistics manager
13,8,8,19,9,16,18,7,1,1,0,3,0,3,3,0,Unknown,Logistics manager
15,8,13,16,13,18,17,6,3,0,1,3,0,1,3,1,Unknown,Logistics manager
12,10,8,16,7,19,17,6,0,1,1,3,1,3,1,1,Unknown,Logistics manager
13,11,9,18,8,17,19,8,0,0,0,3,1,3,3,0,Unknown,Logistics manager
8,7,11,16,12,17,17,14,1,1,0,3,0,3,3,1,Unknown,Logistics manager
12,6,8,20,7,19,17,8,1,1,0,3,0,1,3,0,Unknown,Logistics manager
12,7,10,18,8,16,18,9,1,0,1,3,0,3,1,0,Unknown,Logistics manager
12,5,7,18,9,20,20,10,1,0,0,3,0,3,3,0,Unknown,Logistics manager
12,9,11,18,7,18,20,8,1,0,0,3,0,3,3,0,Unknown,Logistics manager
12,11,8,18,11,19,17,14,0,0,1,3,0,1,3,1,Unknown,Logistics manager
13,8,10,20,8,16,18,9,1,1,1,3,0,3,3,0,Unknown,Logistics manager
12,5,7,19,11,15,17,6,1,0,1,3,0,3,1,0,Unknown,Logistics manager
12,7,6,17,9,18,18,8,0,0,0,3,1,3,1,1,Unknown,Logistics manager
11,7,7,18,6,17,14,7,0,0,0,3,0,1,3,0,Unknown,Logistics manager
12,9,7,16,8,15,18,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
14,6,6,20,8,17,19,8,1,0,0,3,0,3,3,1,Unknown,Logistics manager
13,7,6,19,5,19,18,5,0,0,0,3,0,1,3,0,Unknown,Logistics manager
10,8,10,20,8,16,18,8,1,0,0,3,0,3,3,1,Unknown,Logistics manager
11,10,7,17,10,18,17,7,0,0,1,3,0,3,3,0,Unknown,Logistics manager
12,11,7,18,8,18,18,6,1,0,1,3,0,3,3,1,Unknown,Logistics manager
13,9,7,16,8,17,15,6,1,0,0,3,0,3,1,0,Unknown,Logistics manager
17,6,12,17,7,15,12,10,3,0,0,3,0,3,1,0,Unknown,Logistics manager
12,9,8,17,9,20,17,6,1,0,0,3,0,3,1,0,Unknown,Logistics manager
13,7,6,18,5,18,17,9,1,0,1,3,0,3,3,0,Unknown,Logistics manager
13,6,9,16,10,18,19,6,1,0,1,3,0,3,1,0,Unknown,Logistics manager
14,5,8,15,8,20,16,8,3,0,0,3,1,1,1,0,Unknown,Logistics manager
12,5,11,17,8,17,17,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
12,6,6,15,6,17,17,7,1,0,0,3,1,1,1,0,Unknown,Logistics manager
12,6,6,19,9,16,20,8,0,0,0,3,0,1,3,1,Unknown,Logistics manager
12,9,6,19,9,19,18,9,1,1,0,3,1,1,3,0,Unknown,Logistics manager
12,9,6,17,10,17,18,5,1,1,0,3,0,1,3,3,Unknown,Logistics manager
12,10,9,19,8,16,19,5,0,1,0,3,0,3,3,1,Unknown,Logistics manager
12,7,8,15,7,18,18,9,1,0,1,3,0,3,3,1,Unknown,Logistics manager
13,5,8,15,8,16,16,7,0,0,0,3,1,3,3,0,Unknown,Logistics manager
12,10,7,20,9,18,17,6,1,0,0,3,0,1,1,0,Unknown,Logistics manager
14,7,14,17,14,15,14,8,3,1,0,3,1,0,3,0,Unknown,Logistics manager
13,6,8,16,6,16,17,9,1,0,0,3,0,3,3,0,Unknown,Logistics manager
19,5,12,18,7,15,13,9,3,0,0,3,0,3,3,0,Unknown,Logistics manager
13,6,5,18,6,19,18,7,0,1,1,3,0,3,3,0,Unknown,Logistics manager
12,9,6,18,9,14,18,8,1,0,1,3,0,3,1,1,Unknown,Logistics manager
11,8,7,18,11,16,20,6,1,0,0,3,0,3,1,0,Unknown,Logistics manager
13,5,5,16,7,17,20,7,1,0,0,3,1,3,1,1,Unknown,Logistics manager
14,6,10,20,7,20,18,8,0,0,0,3,0,3,3,0,Unknown,Logistics manager
12,8,7,19,10,18,17,9,3,0,0,3,0,3,1,0,Unknown,Logistics manager
12,8,8,19,7,18,19,6,1,0,1,3,0,3,3,0,Unknown,Logistics manager
11,9,5,18,7,18,16,7,1,0,0,3,0,3,1,0,Unknown,Logistics manager
12,8,6,20,9,17,17,7,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,7,9,19,8,18,20,7,1,0,0,3,0,1,1,0,Unknown,Logistics manager
13,8,7,19,9,16,16,6,1,0,1,3,0,1,1,0,Unknown,Logistics manager
14,9,8,19,9,17,18,6,0,0,0,3,0,3,3,0,Unknown,Logistics manager
11,6,9,18,8,16,15,9,3,1,0,3,0,3,3,1,Unknown,Logistics manager
11,9,17,18,14,7,13,19,0,0,1,3,1,0,1,3,Unknown,Logistics manager
12,6,6,20,8,16,17,6,0,0,1,3,0,3,3,0,Unknown,Logistics manager
14,9,10,17,10,17,16,7,1,0,1,3,0,3,3,0,Unknown,Logistics manager
12,7,9,18,8,18,18,7,3,0,0,3,0,1,1,1,Unknown,Logistics manager
11,7,6,20,8,16,19,6,1,0,0,3,1,3,1,1,Unknown,Logistics manager
10,8,7,19,8,16,16,7,1,1,0,3,0,3,3,0,Unknown,Logistics manager
13,9,7,17,7,16,16,9,1,0,1,3,0,3,1,0,Unknown,Logistics manager
15,8,9,20,5,16,19,7,1,0,0,3,0,3,3,0,Unknown,Logistics manager
11,7,6,19,7,18,15,7,0,0,1,3,0,3,3,0,Unknown,Logistics manager
12,6,9,17,7,19,16,14,0,1,1,3,0,1,3,1,Unknown,Logistics manager
13,7,10,20,8,16,15,5,0,0,0,3,0,3,1,0,Unknown,Logistics manager
12,6,9,17,5,18,20,13,1,1,0,3,0,3,3,1,Unknown,Logistics manager
13,10,7,17,8,15,15,7,1,0,0,3,1,3,1,0,Unknown,Logistics manager
11,7,8,15,7,16,19,6,1,0,1,3,0,3,1,1,Unknown,Logistics manager
13,9,8,17,8,17,17,8,1,0,1,3,3,3,3,0,Unknown,Logistics manager
13,5,9,20,8,18,16,7,1,1,1,3,0,1,3,0,Unknown,Logistics manager
14,9,8,17,7,16,15,7,1,0,0,3,0,3,1,1,Unknown,Logistics manager
12,7,7,18,8,15,18,8,1,0,0,3,1,0,3,1,Unknown,Logistics manager
15,8,9,19,9,15,18,6,1,0,1,3,0,3,3,1,Unknown,Logistics manager
12,6,7,15,8,17,16,6,1,1,0,3,0,3,3,0,Unknown,Logistics manager
12,7,12,18,6,19,17,8,1,1,1,3,1,1,1,1,Unknown,Logistics manager
12,5,11,15,6,17,18,8,0,0,0,3,0,3,1,0,Unknown,Logistics manager
13,8,7,16,10,14,16,6,1,0,1,3,1,3,3,1,Unknown,Logistics manager
13,8,7,18,6,18,16,6,0,0,1,3,1,3,1,1,Unknown,Logistics manager
10,7,5,18,8,17,18,8,1,0,0,3,0,3,3,0,Unknown,Logistics manager
13,7,7,17,9,17,18,7,1,1,1,3,0,3,3,0,Unknown,Logistics manager
12,9,6,20,7,18,17,6,1,0,0,3,1,3,3,0,Unknown,Logistics manager
13,7,9,16,6,18,15,8,0,1,1,3,0,1,3,1,Unknown,Logistics manager
12,5,8,18,8,16,15,9,1,0,1,3,0,3,3,1,Unknown,Logistics manager
11,6,13,16,16,14,15,19,0,1,1,3,3,1,3,1,Unknown,"Astronomer
"
12,8,14,16,14,12,15,17,1,1,0,3,1,1,3,3,Unknown,"Astronomer
"
13,8,13,18,17,12,17,14,1,0,1,3,1,0,3,3,Unknown,"Astronomer
"
12,7,15,15,18,12,18,19,1,0,1,3,3,1,1,3,Unknown,"Astronomer
"
12,5,12,17,18,12,16,17,0,0,0,3,3,1,3,3,Unknown,"Astronomer
"
12,5,11,19,18,12,18,17,3,1,1,3,3,1,1,1,Unknown,"Astronomer
"
13,8,12,19,18,13,15,19,1,0,1,3,1,0,3,3,Unknown,"Astronomer
"
14,7,13,18,18,12,13,18,1,0,1,3,3,0,3,1,Unknown,"Astronomer
"
14,7,15,17,20,12,18,19,1,1,1,3,3,1,3,3,Unknown,"Astronomer
"
13,8,15,19,14,12,16,14,1,0,3,3,3,3,3,1,Unknown,"Astronomer
"
5,9,15,17,13,15,20,14,0,0,1,3,1,3,3,1,Unknown,"Astronomer
"
14,7,15,16,16,12,18,19,3,1,0,3,3,1,3,3,Unknown,"Astronomer
"
11,7,14,20,18,12,19,20,1,0,0,3,3,3,1,3,Unknown,"Astronomer
"
13,5,13,20,14,12,17,20,1,0,3,3,3,0,3,3,Unknown,"Astronomer
"
14,5,11,16,16,13,16,16,1,0,1,3,3,1,3,3,Unknown,"Astronomer
"
13,7,16,19,18,12,19,20,1,0,0,3,3,0,3,3,Unknown,"Astronomer
"
12,5,14,20,19,14,18,19,0,0,1,3,1,0,1,3,Unknown,"Astronomer
"
12,8,15,15,18,11,16,17,0,0,0,3,3,0,1,1,Unknown,"Astronomer
"
11,8,11,18,16,11,18,20,1,0,0,3,3,0,3,3,Unknown,"Astronomer
"
12,5,11,20,14,12,18,18,1,0,1,3,1,0,1,3,Unknown,"Astronomer
"
15,5,15,19,19,13,19,19,1,1,1,3,1,1,1,3,Unknown,"Astronomer
"
11,7,13,16,19,11,19,18,3,0,0,3,3,1,1,1,Unknown,"Astronomer
"
13,7,19,18,12,7,11,19,0,0,3,3,1,0,1,3,Unknown,"Astronomer
"
11,7,18,19,12,7,11,17,1,0,3,3,1,0,1,1,Unknown,"Astronomer
"
12,7,11,18,19,14,19,19,0,0,1,3,3,1,3,1,Unknown,"Astronomer
"
12,6,11,17,18,12,19,19,1,0,1,3,1,1,3,3,Unknown,"Astronomer
"
14,5,14,17,18,12,16,17,3,0,1,3,3,1,3,3,Unknown,"Astronomer
"
12,6,12,18,16,14,16,20,1,0,0,3,3,1,1,3,Unknown,"Astronomer
"
10,7,11,20,17,12,17,16,0,1,1,3,3,0,3,3,Unknown,"Astronomer
"
14,7,12,18,17,13,20,20,3,1,0,3,1,0,3,3,Unknown,"Astronomer
"
13,8,13,19,20,14,16,17,1,0,0,3,3,3,1,3,Unknown,"Astronomer
"
17,6,13,20,14,18,17,8,3,0,1,3,1,3,1,0,Unknown,"Astronomer
"
11,7,13,19,18,11,20,18,0,1,1,3,1,0,1,3,Unknown,"Astronomer
"
12,7,14,18,20,12,18,20,1,0,1,3,3,0,3,3,Unknown,"Astronomer
"
